Name,CLs,CDs,CMs,Xtr_Top,Xtr_Bot,CLmax,Score,Failure_Reason
ag24.dat,"[0.1, 0.3]","[array([0.00541279, 0.00482486])]","[array([-0.06434705, -0.06445804])]","[array([0.78072874, 0.66383953])]","[array([0.31693942, 0.64868469])]",1.2664163931174435,-9.038312075381778,None
giiih.dat,"[0.1, 0.3]","[array([0.00425788, 0.00436896])]","[array([-0.01638165, -0.01430493])]","[array([0.75367258, 0.66246755])]","[array([0.79146347, 0.93206518])]",0.8977461252135839,-9.039302232878672,None
s2046.dat,"[0.1, 0.3]","[array([0.00598748, 0.0048603 ])]","[array([-0.09099607, -0.09051722])]","[array([0.84118031, 0.76459661])]","[array([0.1554221 , 0.54326266])]",1.4288441397140101,-9.094360445907457,None
m11.dat,"[0.1, 0.3]","[array([0.00451636, 0.00498036])]","[array([-0.01091354, -0.02542965])]","[array([0.67833322, 0.58861822])]","[array([0.86365345, 0.99885453])]",1.1508555324326477,-9.110276966258784,None
mh32.dat,"[0.1, 0.3]","[array([0.00553604, 0.00433157])]","[array([-0.05869027, -0.05492505])]","[array([0.7950594 , 0.69076091])]","[array([0.27836722, 0.85095739])]",1.2017501007270366,-9.129998525966386,None
ag23.dat,"[0.1, 0.3]","[array([0.00538697, 0.00479679])]","[array([-0.06431885, -0.06485924])]","[array([0.77474896, 0.66822939])]","[array([0.34874411, 0.66941649])]",1.288176502262977,-9.14076466957054,None
sd2030.dat,"[0.1, 0.3]","[array([0.00608853, 0.004078  ])]","[array([-0.07328098, -0.06782501])]","[array([0.88510092, 0.80664399])]","[array([0.13834903, 0.85960108])]",1.2622214199695854,-9.164892438779134,None
hq2010.dat,"[0.1, 0.3]","[array([0.00492236, 0.00478967])]","[array([-0.0599317 , -0.06017334])]","[array([0.76658867, 0.70855851])]","[array([0.59437245, 0.69993835])]",1.2704878896437939,-9.17107289096856,None
rc08n1.dat,"[0.1, 0.3]","[array([0.00438376, 0.00472076])]","[array([0.00811753, 0.00076097])]","[array([0.67108896, 0.59697302])]","[array([0.99999874, 0.99999794])]",0.9662452800786646,-9.17824643729928,None
e180.dat,"[0.1, 0.3]","[array([0.00483843, 0.00473373])]","[array([-0.01565263, -0.02445588])]","[array([0.60477969, 0.57038177])]","[array([0.74181407, 0.99999855])]",1.1376062471778157,-9.21905811599245,None
rc0864c.dat,"[0.1, 0.3]","[array([0.00395614, 0.0046538 ])]","[array([-0.0125282 , -0.01425628])]","[array([0.80378893, 0.6240119 ])]","[array([0.93559583, 0.98566601])]",0.858172787316574,-9.227984394346965,None
s3016.dat,"[0.1, 0.3]","[array([0.00514231, 0.00459175])]","[array([-0.03072164, -0.03000716])]","[array([0.70992437, 0.59679872])]","[array([0.53760267, 0.96696073])]",1.2625010542829442,-9.271898648399759,None
mh25.dat,"[0.1, 0.3]","[array([0.00409925, 0.00438448])]","[array([-0.03141471, -0.02503137])]","[array([0.89053218, 0.75825003])]","[array([0.91252132, 0.94272676])]",0.9835997936752184,-9.29099978809049,None
mh43.dat,"[0.1, 0.3]","[array([0.00477186, 0.00457187])]","[array([-0.02196606, -0.02304557])]","[array([0.6531458 , 0.57497937])]","[array([0.67571517, 0.98214346])]",1.0320497006917264,-9.350976934883445,None
sd7003.dat,"[0.1, 0.3]","[array([0.0052636 , 0.00510713])]","[array([-0.03897418, -0.03625862])]","[array([0.64795347, 0.47277494])]","[array([0.50702618, 0.85381923])]",1.329065977586975,-9.378096586957916,None
rg1410.dat,"[0.1, 0.3]","[array([0.0046939 , 0.00481453])]","[array([-0.04236857, -0.0377991 ])]","[array([0.73965951, 0.59579374])]","[array([0.64476775, 0.86995816])]",1.2583120174159443,-9.397311600496131,None
c141c.dat,"[0.1, 0.3]","[array([0.00458013, 0.00440913])]","[array([-0.04611904, -0.04232381])]","[array([0.85199194, 0.76072084])]","[array([0.69339924, 0.90019157])]",1.2105417011079556,-9.39818051654494,None
giiig.dat,"[0.1, 0.3]","[array([0.00426979, 0.004352  ])]","[array([-0.01639091, -0.01444946])]","[array([0.74933941, 0.67249638])]","[array([0.79116521, 0.92908367])]",0.8135742770078532,-9.402670983502844,None
mh64.dat,"[0.1, 0.3]","[array([0.00478561, 0.00476951])]","[array([-0.00754502, -0.01297524])]","[array([0.62670195, 0.51747963])]","[array([0.67044938, 0.99999817])]",1.0890626876702865,-9.417451835273628,None
c5c.dat,"[0.1, 0.3]","[array([0.00480956, 0.00440927])]","[array([-0.06520578, -0.06323132])]","[array([0.9151699 , 0.84548316])]","[array([0.64099247, 0.79373214])]",1.2403280164695607,-9.433440913553856,None
c5d.dat,"[0.1, 0.3]","[array([0.0048388 , 0.00448705])]","[array([-0.06313707, -0.06108433])]","[array([0.903857  , 0.80371705])]","[array([0.63417496, 0.77962753])]",1.2682691784103675,-9.4342789520086,None
pfcm.dat,"[0.1, 0.3]","[array([0.00443238, 0.00434354])]","[array([-0.04146355, -0.0416284 ])]","[array([0.79844531, 0.71711681])]","[array([0.6851335 , 0.82777521])]",0.7795649902201713,-9.487826644452102,None
sc20610.dat,"[0.1, 0.3]","[array([0.00517334, 0.00490525])]","[array([-0.10590418, -0.11082694])]","[array([0.96125267, 0.92706609])]","[array([0.5789519 , 0.67129223])]",1.2182884296305398,-9.490645180684085,None
