parameter_value,m2_score,m3_score
4.800000000000001,,18.151365741777386
5.2,,18.46687932022582
5.6,,18.758810835405143
6.0,,19.029866618591793
6.4,,19.28231811948416
6.8,,19.518095065838352
7.199999999999999,,19.738853203518804
